KEY,en,notes,sp,fr,de,it,pt-br
TEAMNAME_FORMAT,The {Adjective} {Nouns},"one adjective and one noun are chosen at random. If this is impossible to make work in a language, then just change the format to say ""The Cats"", or make the adjectives empty and randomize some teamnames in the Noun slots",Тi {Adjective} {Nouns},Les {Nouns} {Adjective},Die {Adjective} {Nouns},{Nouns} {Adjective},{Nouns} {Adjective}
TEAMNAME_FORMAT2,{Adjective} {Nouns},"if the adjective is prepended with ""format2|"" then the team name will use this format instead of the default one",{Adjective} {Nouns},{Nouns} {Adjective},Die {Adjective}-{Nouns},{Adjective} {Nouns},{Nouns} {Adjective}
,,"if more than 2 formats are needed for a language, I can add more (just let me know).",,,,,
,,"nouns may be prepended with the text ""singular|"" (ex if the noun is Team or Sqaud instead of Cats). This changes the grammar in the embark/return/fail cutscenes (ex: ""{Teamname} Returns Home"" vs {Teamname} Return Home"")",,,,,
TEAMNAME_ADJECTIVE_FIGHTER0,Strong,"these do not need to be strictly literal translations, you can be creative with them",Сильний,forts|fortes,Starken,Forti,Fortes
TEAMNAME_ADJECTIVE_FIGHTER1,Dumb,,Нерозумний,idiots|idiotes,Blöden,Tontoloni|Tontolone,Burros|Burras
TEAMNAME_ADJECTIVE_FIGHTER2,Powerful,,Потужний,puissants|puissantes,Garstigen,Potenti,Poderosos|Poderosas
TEAMNAME_ADJECTIVE_FIGHTER3,Mighty,,Могутнiй,vaillants|vaillantes,Mächtigen,Possenti,Potentes
TEAMNAME_ADJECTIVE_FIGHTER4,Elite,,Елiтний,d'élite,format2|Elite,D'élite,de Elite
TEAMNAME_ADJECTIVE_FIGHTER5,Swol,,Накачаний,musclés|musclées,Pumpenden,Pompati|Pompate,Inchados|Inchadas
TEAMNAME_ADJECTIVE_FIGHTER6,Alpha,,Альфа,mâles alpha|femelles alpha,format2|Alpha,Alfa,Alfas
TEAMNAME_ADJECTIVE_FIGHTER7,Punchy,,Ударний,percutants|percutantes,Schlagfertigen,Bizzosi|Bizzose,Impactantes
TEAMNAME_ADJECTIVE_FIGHTER8,Bruised,,Побитий,amochés|amochées,Verprellten,Lividi|Livide,Contundidos|Contundidas
TEAMNAME_ADJECTIVE_FIGHTER9,Fightin',,Боêвий,bagarreurs|bagarreuses,Kriegerischen,Rissosi|Rissose,Lutadores|Lutadoras
TEAMNAME_ADJECTIVE_FIGHTER10,Tough,,Мiцний,balèzes,Zähen,Duri|Dure,Resistentes
TEAMNAME_ADJECTIVE_FIGHTER11,Cocky,,Зухвалий,prétentieux|prétentieuses,Frechen,Spavaldi|Spavalde,Arrogantes
TEAMNAME_ADJECTIVE_FIGHTER12,Dim,,Тьмяний,bêtes,Zurückgebliebenen,Ottusi|Ottuse,Obtusos|Obtusas
TEAMNAME_ADJECTIVE_FIGHTER13,Brooding,,Похмурий,menaçants|menaçantes,Grüblerischen,Cupi,Melancólicos|Melancólicas
TEAMNAME_ADJECTIVE_HUNTER0,Patient,,Терплячий,patients|patientes,Geduldigen,Pazienti,Pacientes
TEAMNAME_ADJECTIVE_HUNTER1,Accurate,,Точний,précis|précises,Peniblen,Precisi|Precise,Precisos|Precisas
TEAMNAME_ADJECTIVE_HUNTER2,Focused,,Зосереджений,concentrés|concentrées,Konzentrierten,Concentrati|Concentrate,Concentrados|Concentradas
TEAMNAME_ADJECTIVE_HUNTER3,Sharp Shootin',,Мiткий Стрiлець,flingueurs|flingueuses,Adleräugigen,Attenti|Attente,Certeiros|Certeiras
TEAMNAME_ADJECTIVE_HUNTER4,Mangy,,Блошивий,galeux|galeuses,Räudigen,Rognosi|Rognose,Mambembes
TEAMNAME_ADJECTIVE_HUNTER5,Infested,,Заражений,infestés|infestées,Infizierten,Infestati|Infestate,Infestados|Infestadas
TEAMNAME_ADJECTIVE_HUNTER6,Ranged,,Дальнобiйний,organisés|organisées,Fernkämpfenden,Tiratori|Tiratrici,Distantes
TEAMNAME_ADJECTIVE_HUNTER7,Trapping,,Мисливський,piégeurs|piégeuses,Fallenstellenden,Insidiosi|Insidiose,Astutos|Astutas
TEAMNAME_ADJECTIVE_HUNTER8,Keen,,Гострий,enthousiastes,Eifrigen,Acuti|Acute,Afiados|Afiadas
TEAMNAME_ADJECTIVE_HUNTER9,Wilding,,Одичалий,déchaînés|déchaînées,Wilden,Scatenati|Scatenate,Primitivos|Primitivas
TEAMNAME_ADJECTIVE_HUNTER10,Untamed,,Неприборканий,indomptables,Ungezähmten,Indomiti|Indomite,Indomáveis
TEAMNAME_ADJECTIVE_HUNTER11,Outdoor,,Вуличний,du plein air,format2|Outdoor,Esterni|Esterne,Rueiros|Rueiras
TEAMNAME_ADJECTIVE_MEDIC0,Caring,,Турботливий,attentionnés|attentionnées,Gütigen,Premurosi|Premurose,Carinhosos|Carinhosas
TEAMNAME_ADJECTIVE_MEDIC1,Loving,,Люблячий,aimants|aimantes,Lieben,Affettuosi|Affettuose,Amorosos|Amorosas
TEAMNAME_ADJECTIVE_MEDIC2,Reverent,,Шанобливий,révérencieux|révérencieuses,Ehrfürchtigen,Riverenti,Reverentes
TEAMNAME_ADJECTIVE_MEDIC3,Holy,,Священний,saints|saintes,Heiligen,Sacri|Sacre,Sagrados|Sagradas
TEAMNAME_ADJECTIVE_MEDIC4,Pious,,Побожний,pieux|pieuses,Frommen,Pii|Pie,Piedosos|Piedosas
TEAMNAME_ADJECTIVE_MEDIC5,Devout,,Набожний,dévots|dévotes,Gläubigen,Devoti|Devote,Devotos|Devotas
TEAMNAME_ADJECTIVE_MEDIC6,Godly,,Благочестивий,vertueux|vertueuses,Gottgleichen,Celestiali,Virtuosos|Virtuosas
TEAMNAME_ADJECTIVE_MEDIC7,Righteous,,Праведний,intègres,Gerechten,Giusti|Giuste,Justos|Justas
TEAMNAME_ADJECTIVE_MEDIC8,Divine,,Божественний,divins|divines,Göttlichen,Divini,Divinos|Divinas
TEAMNAME_ADJECTIVE_MEDIC9,Faithful,,Вiрний,croyants|croyantes,Getreuen,Credenti,Fiéis
TEAMNAME_ADJECTIVE_MEDIC10,Anointed,,Помазаний,consacrés|consacrées,Gesalbten,Consacrati|Consacrate,Abençoados|Abençoadas
TEAMNAME_ADJECTIVE_MAGE0,Magical,,Магiчний,magiques,Magischen,Magici|Magiche,Mágicos|Mágicas
TEAMNAME_ADJECTIVE_MAGE1,Elemental,,Елементальний,élémentaires,Elementaren,Elementali,Elementais
TEAMNAME_ADJECTIVE_MAGE2,Attuned,,Налаштований,harmonisés|harmonisées,Eingestimmten,Armonizzati|Armonizzate,Sintonizados|Sintonizadas
TEAMNAME_ADJECTIVE_MAGE3,Spell Slingin',,Майстер заклять,prestidigitateurs|prestidigitatrices,Zauberhaften,Incantatori|Incantatrici,Feiticeiros|Feiticeiras
TEAMNAME_ADJECTIVE_MAGE4,Big Brained,,Надзвичайно розумний,intellos,Hyperintelligenten,Cervelloni|Cervellone,Geniais
TEAMNAME_ADJECTIVE_MAGE5,Smart,,Розумний,futés|futées,Schlauen,Svegli|Sveglie,Espertos|Espertas
TEAMNAME_ADJECTIVE_MAGE6,Enchanted,,Зачарований,enchantés|enchantées,Verzauberten,Incantati|Incantate,Encantados|Encantadas
TEAMNAME_ADJECTIVE_MAGE7,Spellbound,,Заворожений,ensorcelés|ensorcelées,Gebannten,Stregati|Stregate,Enfeitiçados|Enfeitiçadas
TEAMNAME_ADJECTIVE_MAGE8,Mana Filled,,Наповнений маною,pourvus de mana|pourvues de mana,Magieerfüllten,del Mana,Cheios de Mana|Cheias de Mana
TEAMNAME_ADJECTIVE_MAGE9,Academic,,Академiчний,académiciens|académiciennes,Akademischen,Accademici|Accademiche,Acadêmicos|Acadêmicas
TEAMNAME_ADJECTIVE_MAGE10,Intellectual,,Iнтелектуальний,intellectuels|intellectuelles,Intellektuellen,Colti|Colte,Intelectuais
TEAMNAME_ADJECTIVE_MAGE11,Magic,,Магiчний,magiques,Bezauberten,Fatati|Fatate,Bruxos|Bruxas
TEAMNAME_ADJECTIVE_TANK0,Thick,,Кремезний,à l'ossature lourde,Dicken,Massicci|Massiccie,Grossos|Grossas
TEAMNAME_ADJECTIVE_TANK1,Steady,,Стiйкий,solides,Standhaften,Stabili,Firmes
TEAMNAME_ADJECTIVE_TANK2,Hardy,,Витривалий,robustes,Abgehärteten,Robusti|Robuste,Durões|Duronas
TEAMNAME_ADJECTIVE_TANK3,Fat,,Товстий,en surpoids,Fetten,Grassottelli|Grassottelle,Gordos|Gordas
TEAMNAME_ADJECTIVE_TANK4,Solid,,Мiцний,solides,Soliden,Solidi,Sólidos|Sólidas
TEAMNAME_ADJECTIVE_TANK5,Resilient,,Живучий,résilients|résilientes,Widerstandsfähigen,Tenaci,Resilientes
TEAMNAME_ADJECTIVE_TANK6,Stout,,Коренастий,corpulents|corpulentes,Stabilen,Tarchiati|Tarchiate,Corpulentos|Corpulentas
TEAMNAME_ADJECTIVE_TANK7,Wide,,Широкий,épais|épaisses,Breiten,Larghi|Larghe,Largos|Largas
TEAMNAME_ADJECTIVE_TANK8,Husky,,Потужний,costauds|costaudes,Stattlichen,Grossi|Grosse,Robustos|Robustas
TEAMNAME_ADJECTIVE_TANK9,Chubby,,Пухкий,potelés|potelées,Molligen,Paffuti|Paffute,Gorduchos|Gorduchas
TEAMNAME_ADJECTIVE_TANK10,Rocky,,Кам'яний,rocailleux|rocailleuses,Felsenfesten,Rocciosi|Rocciose,Pedregosos|Pedregosas
TEAMNAME_ADJECTIVE_TANK11,Dense,,Щiльний,énormes,Unterbelichteten,Densi|Dense,Densos|Densas
TEAMNAME_ADJECTIVE_TANK12,Round,,Круглий,rondelets|rondelettes,Runden,Rotondi|Rotonde,Redondos|Redondas
TEAMNAME_ADJECTIVE_TANK13,XXL,,XXL,XXL,format2|XXL,XXL,GGG
TEAMNAME_ADJECTIVE_TANK14,Lazy,,Ледачий,paresseux|paresseuses,Faulen,Pigri|Pigre,Preguiçosos|Preguiçosas
TEAMNAME_ADJECTIVE_TANK15,Slow,,Повiльний,lents|lentes,Langsamen,Lenti|Lente,Lentos|Lentas
TEAMNAME_ADJECTIVE_TANK16,Chonky,,Пухлявий,joufflus|joufflues,Klobigen,Cicciotti|Cicciotte,Roliços|Roliças
TEAMNAME_ADJECTIVE_THIEF0,Sneaky,,Пiдступний,sournois|sournoises,Schleichenden,Furtivi|Furtive,Furtivos|Furtivas
TEAMNAME_ADJECTIVE_THIEF1,Sly,,Хитрий,fourbes,Listigen,Scaltri|Scaltre,Astutos|Astutas
TEAMNAME_ADJECTIVE_THIEF2,Hidden,,Прихований,cachés|cachées,Versteckten,Nascosti|Nascoste,Ocultos|Ocultas
TEAMNAME_ADJECTIVE_THIEF3,Lying,,Брехливий,menteurs|menteuses,Lügenden,Bugiardi|Bugiarde,Mentirosos|Mentirosas
TEAMNAME_ADJECTIVE_THIEF4,Greedy,,Жадiбний,cupides,Gierigen,Avidi|Avide,Ambiciosos|Ambiciosas
TEAMNAME_ADJECTIVE_THIEF5,Penny Pinchin',,Жаднюга,avares,Geizigen,Tirchi|Tirchie,Sovinas
TEAMNAME_ADJECTIVE_THIEF6,Quick,,Швидкий,rapides,Schnellen,Svelti|Svelte,Velozes
TEAMNAME_ADJECTIVE_THIEF7,Naughty,,Неслухняний,vilains|vilaines,Frechen,Birbanti,Safadinhos|Safadinhas
TEAMNAME_ADJECTIVE_THIEF8,Thieving,,Крадiйкуватий,voleurs|voleuses,Diebischen,Ladri|Ladre,Gatunos|Gatunas
TEAMNAME_ADJECTIVE_THIEF9,Mercin',,Вбиваючий,du larcin,Gnädigen,Mercenari|Mercenarie,Graciosos|Graciosas
TEAMNAME_ADJECTIVE_THIEF10,Stabbin',,Заколюючий,au poignard,Hinterlistigen,Pugnalatori|Pugnalatrici,Enganadores|Enganadoras
TEAMNAME_ADJECTIVE_THIEF11,Dark,,Темний,sombres,Dunklen,Oscuri|Oscure,Sombrios|Sombrias
TEAMNAME_ADJECTIVE_THIEF12,Quiet,,Тихий,silencieux|silencieuses,Stillen,Silenziosi|Silenziose,Quietos|Quietas
TEAMNAME_ADJECTIVE_THIEF13,Secret,,Таêмний,discrets|discrètes,Geheimen,Segreti|Segrete,Secretos|Secretas
TEAMNAME_ADJECTIVE_MONK0,Balanced,,Збалансований,équilibrés|équilibrées,Ausgeglichenen,Equilibrati|Equilibrate,Equilibrados|Equilibradas
TEAMNAME_ADJECTIVE_MONK1,Zen,,Дзен,zen,format2|Zen,Zen,Zen
TEAMNAME_ADJECTIVE_MONK2,Flowing,,Текучий,ruisselants|ruisselantes,Fließenden,Fluidi|Fluide,Fluidos|Fluidas
TEAMNAME_ADJECTIVE_MONK3,Meditating,,Медитуючий,méditatifs|méditatives,Meditierenden,Meditativi|Meditative,Meditantes
TEAMNAME_ADJECTIVE_MONK4,Calm,,Спокiйний,calmes,Ruhigen,Sereni|Serene,Calmos|Calmas
TEAMNAME_ADJECTIVE_MONK5,Flying,,Лiтаючий,volants|volantes,Fliegenden,Volanti,Voadores|Voadoras
TEAMNAME_ADJECTIVE_MONK6,Enlightened,,Просвiтлений,éveillés|éveillées,Erleuchteten,Illuminati|Illuminate,Iluminados|Iluminadas
TEAMNAME_ADJECTIVE_MONK7,Blissful,,Блаженний,béats|béates,Seligen,Beati|Beate,Afortunados|Afortunadas
TEAMNAME_ADJECTIVE_MONK8,Inner,,Внутрiшнiй,intérieurs|intérieures,Inneren,Intimi|Intime,Interiores
TEAMNAME_ADJECTIVE_MONK9,Centered,,Зосереджений,centrés|centrées,Zentrierten,Centrati|Centrate,Centrados|Centradas
TEAMNAME_ADJECTIVE_MONK10,Flying,,Лiтаючий,planants|planantes,Fliegenden,Alati|Alate,Voadores|Voadoras
TEAMNAME_ADJECTIVE_MONK11,Karmic,,Кармiчний,karmiques,format2|Karma,del Karma,Cármicos|Cármicas
TEAMNAME_ADJECTIVE_MONK12,Transcendent,,Трансцендентний,transcendés|transcendées,Überweltlichen,Trascendenti,Transcendentes
TEAMNAME_ADJECTIVE_DRUID0,Animalistic,,Тваринний,animaux|animales,Animalistischen,Animalisti|Animaliste,Animalísticos|Animalísticas
TEAMNAME_ADJECTIVE_DRUID1,Singing,,Спiвучий,chantants|chantantes,Singenden,Canterini|Canterine,Cantores|Cantoras
TEAMNAME_ADJECTIVE_DRUID2,Natural,,Природний,naturels|naturelles,Natürlichen,Naturali,Naturais
TEAMNAME_ADJECTIVE_DRUID3,Peaceful,,Мирний,pacifiques,Friedlichen,Pacifici|Pacifiche,Pacíficos|Pacíficas
TEAMNAME_ADJECTIVE_DRUID4,Musical,,Музичний,musicaux|musicales,Musikalischen,Musicali,Musicais
TEAMNAME_ADJECTIVE_DRUID5,Squirrely,,Неспокiйний,agités|agitées,Schreckhaften,Strambi|Strambe,Assustadores|Assustadoras
TEAMNAME_ADJECTIVE_DRUID6,Summoned,,Викликаний,invoqués|invoquées,Beschworenen,Evocati|Evocate,Invocados|Invocadas
TEAMNAME_ADJECTIVE_DRUID7,Leafy,,Листяний,feuillus|feuillues,Blättrigen,Floridi|Floride,Frondosos|Frondosas
TEAMNAME_ADJECTIVE_DRUID8,High,,Пiднесений,défoncés|défoncées,Vollgedröhnten,Inebriati|Inebriate,Altos|Altas
TEAMNAME_ADJECTIVE_DRUID9,Dancing,,Танцюючий,dansants|dansantes,Tanzenden,Ballerini|Ballerine,Dançantes
TEAMNAME_ADJECTIVE_DRUID10,Whistling,,Свистячий,sifflotants|sifflotantes,Pfeifenden,Fischiettanti,Assobiadores|Assobiadoras
TEAMNAME_ADJECTIVE_DRUID11,A Capella,,Акапела,a capella,A Capella,A Cappella,A Cappella
TEAMNAME_ADJECTIVE_PSYCHIC0,Three-Eyed,,Триокий,à trois yeux,Dreiäugigen,Triclopi,de Três Olhos
TEAMNAME_ADJECTIVE_PSYCHIC1,Astral,,Астральний,astraux|astrales,Astralen,Astrali,Astrais
TEAMNAME_ADJECTIVE_PSYCHIC2,Visionary,,Провидницький,visionnaires,Visionären,Veggenti,Visionários|Visionárias
TEAMNAME_ADJECTIVE_PSYCHIC3,Mystical,,Мiстичний,mystiques,Mystischen,Mistici|Mistiche,Místicos|Místicas
TEAMNAME_ADJECTIVE_PSYCHIC4,Mind Reading,,Читання думок,devins,Gedankenlesenden,Chiromanti,Leitores de Mentes|Leitoras de Mentes
TEAMNAME_ADJECTIVE_PSYCHIC5,Fortune Telling,,Ворожiння,voyants|voyantes,Wahrsagenden,Indovini|Indovine,Videntes
TEAMNAME_ADJECTIVE_PSYCHIC6,Psychic,,Екстрасенсорний,médiums,Psychischen,Psionici|Psioniche,Psíquicos|Psíquicas
TEAMNAME_ADJECTIVE_PSYCHIC7,Telepathic,,Телепатичний,télépathes,Telepathischen,Telepatici|Telepatiche,Telepatas
TEAMNAME_ADJECTIVE_PSYCHIC8,Charming,,Чарiвний,charmeurs|charmeuses,Charmanten,Ammaliatori|Ammaliatrici,Charmosos|Charmosas
TEAMNAME_ADJECTIVE_PSYCHIC9,Manipulative,,Манiпулятивний,manipulateurs|manipulatrices,Manipulierenden,Manipolatori|Manipolatrici,Manipulativos|Manipulativas
TEAMNAME_ADJECTIVE_PSYCHIC10,All Knowing,,Всезнаючий,omniscients|omniscientes,Allwissenden,Onniscienti,Sabe-Tudo
TEAMNAME_ADJECTIVE_PSYCHIC11,Pulsing,,Пульсуючий,palpitants|palpitantes,Pulsierenden,Pulsanti,Pulsantes
TEAMNAME_ADJECTIVE_PSYCHIC12,Catatonic,,Кататонiчний,catatoniques,Katatonischen,Catatonici|Catatoniche,Catatônicos|Catatônicas
TEAMNAME_ADJECTIVE_BUTCHER0,Hungry,,Голодний,affamés|affamées,Hungrigen,Affamati|Affamate,Famintos|Famintas
TEAMNAME_ADJECTIVE_BUTCHER1,Sweaty,,Потний,en sueur,Schwitzenden,Sudaticci|Sudaticcie,Suados|Suadas
TEAMNAME_ADJECTIVE_BUTCHER2,Meaty,,М'ясистий,charnus|charnues,Fleischigen,Carnosi|Carnose,Carnudos|Carnudas
TEAMNAME_ADJECTIVE_BUTCHER3,Sliced,,Порiзаний,en tranches,Geschnittenen,Affettati|Affettate,Fatiados|Fatiadas
TEAMNAME_ADJECTIVE_BUTCHER4,Hooked,,На гачку,accrochés|accrochées,Hakenden,Appesi|Appese,Enganchados|Enganchadas
TEAMNAME_ADJECTIVE_BUTCHER5,Bleeding,,Кривавий,ensanglantés|ensanglantées,Blutenden,Sanguinanti,Sangrentos|Sangrentas
TEAMNAME_ADJECTIVE_BUTCHER6,Never Full,,Нiколи не ситий,insatiables,Nimmersatten,Insaziabili,Insatisfeitos|Insatisfeitas
TEAMNAME_ADJECTIVE_BUTCHER7,Butch,,М'ясник,barbares,Maskulin gelesenen,Macellati|Macellate,Bárbaros|Bárbaras
TEAMNAME_ADJECTIVE_BUTCHER8,Chained,,У ланцюгах,enchaînés|enchaînées,Angeketteten,Incatenati|Incatenate,Acorrentados|Acorrentadas
TEAMNAME_ADJECTIVE_BUTCHER9,Blood Thirsty,,Кровожерливий,sanguinaires,Blutdurstigen,Assetati di Sangue|Assetate di Sangue,Sanguinolentos|Sanguinolentas
TEAMNAME_ADJECTIVE_BUTCHER10,Hack 'n Slash,,Рiзня,tranchants|tranchantes,Hackenden,Squartatori|Squartatrici,Estraçalhantes
TEAMNAME_ADJECTIVE_NECROMANCER0,Undead,,Нежить,morts-vivants|mortes-vivantes,Untoten,Non morti|Non morte,Mortos-Vivos|Mortas-Vivas
TEAMNAME_ADJECTIVE_NECROMANCER1,Decaying,,Розкладаêться,pourrissants|pourrissantes,Verwesenden,Decomposti|Decomposte,Apodrecidos|Apodrecidas
TEAMNAME_ADJECTIVE_NECROMANCER2,Dark,,Темний,sombres,Dunklen,Tenebrosi|Tenebrose,Sombreados|Sombreadas
TEAMNAME_ADJECTIVE_NECROMANCER3,Rotting,,Гниючий,putréfiés|putréfiées,Verrottenden,Marcescenti,Apodrecidos|Apodrecidas
TEAMNAME_ADJECTIVE_NECROMANCER4,Gothic,,Готичний,gothiques,format2|Gothic,Gotici|Gotiche,Góticos|Góticas
TEAMNAME_ADJECTIVE_NECROMANCER5,Emo,,Емо,emos,format2|Emo,Emo,Emo
TEAMNAME_ADJECTIVE_NECROMANCER6,Black,,Чорний,noirs|noires,Schwarzen,Neri|Nere,Negros|Negras
TEAMNAME_ADJECTIVE_NECROMANCER7,Evil,,Злий,diaboliques,Bösen,Malvagi|Malvagie,Malignos|Malignas
TEAMNAME_ADJECTIVE_NECROMANCER8,Doomed,,Приречений,damnés|damnées,Verdammten,Dannati|Dannate,Perdidos|Perdidas
TEAMNAME_ADJECTIVE_NECROMANCER9,Drained,,Виснажений,exsangues,Ausgesaugten,Prosciugati|Prosciugate,Drenados|Drenadas
TEAMNAME_ADJECTIVE_NECROMANCER10,Midnight,,Опiвнiчний,de minuit,Nächtlichen,Crepuscolari,da Meia-Noite
TEAMNAME_ADJECTIVE_NECROMANCER11,Dead,,Мертвий,morts|mortes,Toten,Morti|Morte,Mortos|Mortas
TEAMNAME_ADJECTIVE_NECROMANCER12,Spooky,,Моторошний,flippants|flippantes,Gruseligen,Spettrali,Assustadores|Assustadoras
TEAMNAME_ADJECTIVE_TINKERER0,Crafty,,Хитрий,ingénieux|ingénieuses,Gewieften,Astuti|Astute,Engenhosos|Engenhosas
TEAMNAME_ADJECTIVE_TINKERER1,Scrappy,,Завзятий,ferrailleurs|ferrailleuses,Rabiaten,Battaglieri|Battagliere,Brigões|Brigonas
TEAMNAME_ADJECTIVE_TINKERER2,Inventive,,Винахiдливий,inventifs|inventives,Erfinderischen,Ingegnosi|Ingegnose,Inventores|Inventoras
TEAMNAME_ADJECTIVE_TINKERER3,Mad,,Божевiльний,énervés|énervées,Verrückten,Folli,Loucos|Loucas
TEAMNAME_ADJECTIVE_TINKERER4,Fried,,Смажений,frits|frites,Durchgedrehten,Fritti|Fritte,Fritos|Fritas
TEAMNAME_ADJECTIVE_TINKERER5,Electric,,Електричний,électriques,Elektrischen,Elettrici|Elettriche,Elétricos|Elétricas
TEAMNAME_ADJECTIVE_TINKERER6,Creative,,Творчий,créatifs|créatives,Kreativen,Creativi|Creative,Criativos|Criativas
TEAMNAME_ADJECTIVE_TINKERER7,Scientific,,Науковий,scientifiques,Wissenschaftlichen,Scientifici|Scientifiche,Científicos|Científicas
TEAMNAME_ADJECTIVE_TINKERER8,Robotic,,Роботичний,robotiques,Mechanischen,Robotici|Robotiche,Robóticos|Robóticas
TEAMNAME_ADJECTIVE_TINKERER9,Metal,,Металевий,métalliques,Metallischen,Metallici|Metalliche,de Metal
TEAMNAME_ADJECTIVE_TINKERER10,Exploding,,Вибуховий,explosifs|explosives,Explodierenden,Esplosivi|Esplosive,Explosivos
TEAMNAME_ADJECTIVE_TINKERER11,Armored,,Броньований,blindés|blindées,Gerüsteten,Corazzati|Corazzate,Blindados|Blindadas
TEAMNAME_ADJECTIVE_TINKERER12,Armed,,Озброêний,armés|armées,Bewaffneten,Armati|Armate,Armados|Armadas
TEAMNAME_ADJECTIVE_TINKERER13,Remote-Controlled,,Дистанцiйно-керований,télécommandés|télécommandées,Ferngesteuerten,Telecomandati|Telecomandate,de Controle Remoto
TEAMNAME_ADJECTIVE_COLORLESS0,Normal,,Звичайний,normaux|normales,Normalen,Normali,Normais
TEAMNAME_ADJECTIVE_COLORLESS1,Basic,,Базовий,basiques,Regulären,Basilari,Básicos|Básicas
TEAMNAME_ADJECTIVE_COLORLESS2,Standard,,Стандартний,ordinaires,format2|Standard,Standard,Padrão
TEAMNAME_ADJECTIVE_JESTER0,Crazy,,Божевiльний,fous|folles,Verrückten,Pazzi|Pazze,Malucos|Malucas
TEAMNAME_ADJECTIVE_JESTER1,Wacky,,Чудацький,farfelus|farfelues,Schrulligen,Squinternati|Squinternate,Pirados|Piradas
TEAMNAME_ADJECTIVE_JESTER2,Lucky,,Щасливий,chanceux|chanceuses,Glücklichen,Fortunati|Fortunate,Sortudos|Sortudas
TEAMNAME_ADJECTIVE_JESTER3,Goofy,,Дурнуватий,loufoques,Exzentrischen,Goffi|Goffe,Bobões|Bobonas
TEAMNAME_ADJECTIVE_JESTER4,Giggling,,Хихикаючий,gloussants|gloussantes,Giggelnden,Ridacchianti,Gargalhantes
TEAMNAME_ADJECTIVE_JESTER5,Laughing,,Смiючийся,hilares,Lachenden,Sghignazzanti,Risonhos|Risonhas
TEAMNAME_ADJECTIVE_JESTER6,Funny,,Смiшний,drôles,Lustigen,Divertenti,Engraçados|Engraçadas
TEAMNAME_ADJECTIVE_JESTER7,Sarcastic,,Саркастичний,sarcastiques,Sarkastischen,Sarcastici|Sarcastiche,Sarcásticos|Sarcásticas
TEAMNAME_ADJECTIVE_JESTER8,Cackling,,Регочучий,rigolos|rigolotes,Gackernden,Sguaiati|Sguaiate,Cacarejantes
