KEY,en,notes,sp,fr,de,it,pt-br
EABILITY_HOLYBLAST_NAME,Holy Blast,,Священний Вибух,Explosion sacrée,Heilige Explosion,Esplosione Sacra,Explosão Sagrada
EABILITY_PRECOGNITION_NAME,Precognition,,Передбачення,Prémonition,Vorausahnung,Precognizione,Predição
EABILITY_ANNIHILATION_NAME,Annihilation,,Знищення,Annihilation,Vernichtung,Annientamento,Aniquilação
EABILITY_RISE_NAME,Rise,,Підйом,Ascension,Erheben,Ascesa,Elevação
EABILITY_PURITY_NAME,Purity,,Чистота,Pureté,Reinheit,Purezza,Pureza
EABILITY_WRATH_NAME,Wrath,,Гнів,Courroux,Zorn,Ira,Ira
EABILITY_PULSE_NAME,Pulse,,Пульс,Pulsation,Puls,Impulso,Pulso
EABILITY_SLAM_NAME,Slam,,Удар,Écrasement,Aufschlag,Schianto,Batida
EABILITY_TOSS_NAME,Toss,,Кидок,Lancer,Wurf,Lancio,Lançamento
EABILITY_GASP_NAME,Gasp,,Захоплення Дихання,Exclamation,Keuchen,Sussulto,Engasgo
EABILITY_RAGE_NAME,Rage,,Лють,Rage,Rage,Rabbia,Raiva
EABILITY_TANTRUM_NAME,Tantrum,,Істерика,Caprice,Wutanfall,Capriccio,Birra
EABILITY_CALL_NAME,Call,,Заклик,Appel,Ruf,Richiamo,Chamado
EABILITY_SPIT_NAME,Spit,,Плювок,Crachat,Ausspucken,Sputo,Cuspe
EABILITY_BELLYPOUND_NAME,Belly Pound,,Удар Животом,Tambourinage de bide,Bauchtrommel,Sbatacchiamento di Pancia,Barrigada
EABILITY_DIGEST_NAME,Digest,,Перетравлення,Digestion,Verdauen,Digestione,Digestão
EABILITY_HEADCHARGE_NAME,Head Charge,,Удар Головою,Tête en avant,Kopfansturm,Carica di Testa,Cabeçada
EABILITY_SHRIEK_NAME,Shriek,,Вереск,Cri perçant,Kreischen,Stridio,Guincho
EABILITY_SCREAM_NAME,Scream,,Крик,Cri,Schrei,Urlo,Grito
EABILITY_SHAKE_NAME,Shake,,Струс,Secousse,Schütteln,Scuotimento,Tremor
EABILITY_COUGH_NAME,Cough,,Кашель,Toux,Husten,Tosse,Tosse
EABILITY_PRISON_NAME,Prison,,В'язниця,Prison,Gefängnis,Prigione,Prisão
EABILITY_SPINTHROW_NAME,Spin Throw,,Кидок з обертом,Lancer toupie,Drehwurf,Lancio Rotante,Lançamento Giratório
EABILITY_FIRESTORM_NAME,Firestorm,,Вогняна буря,Tempête de feu,Feuersturm,Tempesta di Fuoco,Tempestade de Fogo
EABILITY_FIREBREATH_NAME,Fire Breath,,Вогняне дихання,Souffle de feu,Feueratem,Soffio di Fuoco,Hálito Flamejante
EABILITY_VOLCANOSTOMP_NAME,Volcano Stomp,,Топтання вулкана,Piétinement volcanique,Vulkanstampfer,Pestone Vulcanico,Pisão de Vulcão
EABILITY_SPINDASH_NAME,Spin Dash,,Ривок з обертом,Charge tournoyante,Drehsturm,Scatto Rotante,Impulso Giratório
EABILITY_METEORNADO_NAME,Meteornado,,Метеорнадо,Météornade,Meteornado,Meteornado,Meteoronado
EABILITY_TURTLE_NAME,Turtle,,Черепаха,Tortue,Panzerschutz,Tartaruga,Tartaruga
EABILITY_MAGNETPULL_NAME,Magnet Pull,,Притягання магнітом,Attirance magnétique,Magnetzug,Attrazione Magnetica,Atração Magnética
EABILITY_METEORBOMBARD_NAME,Meteor Bombardment,,Метеоритне бомбардування,Bombardement météore,Meteorbeschuss,Bombardamento Meteoritico,Bombardeio de Meteoros
EABILITY_HSULF_NAME,Hsulf,"""Flush"" backwards (for chaos boss) [backwards version of flushmaster Flush]",Hsulf,Odessahc,Gnulüps,Enouqcaics,Orieugracsed
EABILITY_TSALBDNIMAGEM_NAME,Tsalb Dnim Agem,"""Mega Mind Blast"" backwards (for chaos boss) [backwards version of johnny's Mega Mind Blast]",Вибух розумової гри,Euqihcysp epparf agèm,Noisolpxeneknadeg Egiseir,Elatnem Enoisolpse Agem,Latnem Oãsolpxe Agem
EABILITY_TUODAERPS_NAME,Tuo Daerps.,"""Spread Out"" backwards (for chaos boss) [backwards version of throbbing king's Spread Out]",Розійдіться.,Suov-zesrepsid.,Nelietrev.,Ivetailgapraps.,Otnemahlapse
EABILITY_THROWGRENADE_NAME,Throw Grenade,,Кинути гранату,Lancer de grenade,Granate werfen,Lancio di Granata,Lançar Granada
EABILITY_SNIPER_NAME,Sniper,,Снайпер,Sniper,Scharfschütze,Cecchino,Sniper
EABILITY_BOULDERDROP_NAME,Boulder Drop!,,Кидок валуна!,Lancer de rocher,Steinschlag!,Caduta Massi!,Pedrada!
EABILITY_T3RIPANDTEAR_NAME,Auseinanderreißen,,Розірвати навпіл,Auseinanderreißen,Auseinanderreißen,Auseinanderreißen,Auseinanderreißen
EABILITY_ROULETTE_NAME,Roulette.,,Рулетка.,Roulette.,Roulette.,Roulette.,Roleta.
EABILITY_KNEEL_NAME,Kneel.,,Стань на коліна.,À genoux.,Kniet nieder.,Inginocchiatevi.,Ajoelhar.
EABILITY_GOAWAY_NAME,Go Away.,,Іди геть.,Dégage.,Aus meinen Augen.,Andatevene.,Partida.
EABILITY_SPREADOUT_NAME,Spread Out.,,Розійдіться.,Dispersez-vous.,Verteilt euch.,Sparpagliatevi.,Espalhamento.
EABILITY_VOMITRAIN_NAME,Vomit Rain,,Дощ блювоти,Pluie de vomi,Kotzregen,Pioggia di Vomito,Chuva de Vômito
EABILITY_SPAWNBOMB_NAME,Spawn Bomb,,Заспавнити бомбу,Invocation de bombe,Bombe werfen,Generazione Bomba,Gerar Bomba
EABILITY_SPAWNRAT_NAME,Spawn Rat,,Заспавнити пацюка,Invocation de rat,Ratte rufen,Generazione Ratto,Gerar Rato
EABILITY_CUT_NAME,Cut,,Поріз,Coupure,Ritzen,Taglio,Corte
EABILITY_HEAL_NAME,Heal,,Зцілення,Soin,Heilung,Cura,Cura
EABILITY_TRAMPLEDASH_NAME,Trample Dash,,Потоптуючий ривок,Charge bélier,Trampelansturm,Scatto Travolgente,Atropelamento
EABILITY_RAGEUP_NAME,Rage Up,,Підвищення люті,Fureur,Wut hoch,Furia +,Enfurecer
EABILITY_DUSTDASH_NAME,Dust Dash,,Пиловий ривок,Charge poussiéreuse,Staubansturm,Scatto di Polvere,Impulso de Poeira
EABILITY_SPELLSHIELD_NAME,Spell Shield,,Щит заклинань,Bouclier magique,Zauberschild,Scudo Magico,Escudo Encantado
EABILITY_FLAMETHROWER_NAME,Flamethrower,,Вогнемет,Lance-flammes,Flammenwerfer,Lanciafiamme,Lança-Chamas
EABILITY_WIZBLIZZ_NAME,Wiz Blizz,,Wiz Blizz,Blizzard magique,Zauberschnee,Bufera Magica,Nevascaria
EABILITY_WIZSTORM_NAME,xXx_Thunder_xXx,,xXx_Thunder_xXx,xXx_Tonnerre_xXx,xXx_Donner_xXx,xXx_Tuono_xXx,xXx_Trovão_xXx
EABILITY_SWIPE_NAME,Swipe,,Удар лапою,Baffe,Schlag,Zampata,Passada
EABILITY_BITE_NAME,Bite,,Укус,Morsure,Biss,Morso,Mordida
EABILITY_GEMINADO_NAME,Geminado,,Geminado,Tornades jumelles,Geminado,Geminado,Geminado
EABILITY_SUICIDEMELEE_NAME,Melee Attack,,Атака в ближньому бою,Attaque au corps-à-corps,Nahkampfangriff,Attacco Corpo a Corpo,Ataque Corpo-a-Corpo
EABILITY_SUICIDEMELEE_DESC,A melee attack that also damages yourself.,,"Атака в ближньому бою, яка також завдає шкоди самому собі.",Une attaque au corps-à-corps qui vous inflige également des dégâts.,"Ein Nahkampfangriff, der dir auch selbst Schaden zufügt.",Un attacco corpo a corpo che danneggia anche te.,Um ataque corpo-a-corpo que também causa dano a você.
EABILITY_SPAWNMAGGOT_NAME,Spawn Maggot,,Заспавнити личинку,Invocation d'asticot,Made rufen,Generazione Larva,Gerar Verme
EABILITY_SPAWNMAGGOTS_NAME,Spawn Maggots,,Заспавнити личинок,Invocation d'asticots,Maden rufen,Generazione Larve,Gerar Vermes
EABILITY_SPAWNFLEA_NAME,Spawn Flea,,Заспавнити блоху,Invocation de puce,Floh rufen,Generazione Pulce,Gerar Pulga
EABILITY_RATLEAP_NAME,Rat Leap,,Стрибок щура,Saut de rat,Rattensprung,Balzo del Ratto,Salto do Rato
EABILITY_CATCALL_NAME,Cat Call,,Клич кота,Huée,Katzenjammer,Richiamo del Gatto,Cantada
EABILITY_MUTATE_NAME,Mutate,,Мутувати,Mutation,Mutation,Mutazione,Mutação
EABILITY_TUMORPRISON_NAME,Tumor Prison,,Пухлинна в'язниця,Prison tumeur,Tumorgefängnis,Prigione Tumorale,Prisão de Tumor
EABILITY_RALLYMAGGOTS_NAME,"Rally, Maggots!",,"Вперед, личинки!",Ralliement d'asticots,"Auf sie, ihr Maden!","Radunatevi, Larve!","Vermes, Comigo!"
EABILITY_ZAP_NAME,Zap,,Удар струмом,Bzzzz,Stromstoß,Zap,Zap
EABILITY_FATLEAP_NAME,Fat Leap,,Товстий стрибок,Gros saut,Fetter Sprung,Balzo Ciccione,Salto Gorduroso
EABILITY_XLIGHTNING_NAME,X Lightning,,X-блискавка,Éclair X,X-Blitz,Fulmin-X,Raio X
EABILITY_SLIDE_NAME,Slide,,Ковзання,Glissade,Rutschen,Scivolata,Deslizar
EABILITY_MCFLAMETHROWER_NAME,MC Flamethrower,,MC Вогнемет,CM&nbsp;Lance-flammes,MC-Flammenwerfer,Lanciafiamme del GM,Lança-Chamas MC
EABILITY_MCBLIZZ_NAME,MC Blizz,,MC Метель,CM&nbsp;Blizzard,MC-Blizz,Bufera del GM,Nevasca MC
EABILITY_MCTHUNDER_NAME,MC Thunder,,MC Грім,CM&nbsp;Tonnerre,MC-Donner,Tuono del GM,Trovão MC
EABILITY_D6FIZZLE_NAME,0 : Fizzle,,0 : Пшик,0&nbsp;: Crépitement,0 : Zischen,0: Sibilo,0 : Silvo
EABILITY_D6CONFUSION_NAME,1 : Confusion,,1 : Сплутаність,1&nbsp;: Confusion,1 : Verwirrung,1: Confusione,1 : Confusão
EABILITY_D6POOP_NAME,2 : Poop,,2 : гівно,2&nbsp;: Crotte,2 : Häufchen,2: Cacca,2 : Cocô
EABILITY_D6LEECH_NAME,2 : Leech,,2 : П'явка,2&nbsp;: Sangsue,2 : Blutegel,2: Sanguisuga,2 : Sanguessuga
EABILITY_D6LASER_NAME,3 : Laser,,3 : Лазер,3&nbsp;: Laser,3 : Laser,3: Laser,3 : Laser
