KEY,en,notes,sp,fr,de,it,pt-br
CLASS_UNLOCK_MEDIC,"""Cleric Collar"" is now available!",,"""Нашийник Клерика"" тепер доступний!",«&nbsp;Collier de Sage&nbsp;» maintenant disponible&nbsp;!,Neues Halsband verfügbar: „Kleriker“!,"È ora disponibile il ""Collare del Chierico""!","Nova coleira disponível: ""clérigo""!"
CLASS_UNLOCK_THIEF,"""Thief Collar"" is now available!",,"""Нашийник Злодія"" тепер доступний!",«&nbsp;Collier de Fourbe&nbsp;» maintenant disponible&nbsp;!,Neues Halsband verfügbar: „Dieb“!,"È ora disponibile il ""Collare del Ladro""!","Nova coleira disponível: ""ladrão""!"
CLASS_UNLOCK_NECROMANCER,"""Necromancer Collar"" is now available!",,"""Нашийник Некроманта"" тепер доступний!",«&nbsp;Collier d'Occultiste&nbsp;» maintenant disponible&nbsp;!,Neues Halsband verfügbar: „Totenbeschwörer“!,"È ora disponibile il ""Collare del Necromante""!","Nova coleira disponível: ""necromante""!"
CLASS_UNLOCK_BUTCHER,"""Butcher Collar"" is now available!",,"""Нашийник М'ясника"" тепер доступний!",«&nbsp;Collier de Barbare&nbsp;» maintenant disponible&nbsp;!,Neues Halsband verfügbar: „Schlachter“!,"È ora disponibile il ""Collare del Macellaio""!","Nova coleira disponível: ""açougueiro""!"
CLASS_UNLOCK_PSYCHIC,"""Psychic Collar"" is now available!",,"""Нашийник Психіка"" тепер доступний!",«&nbsp;Collier de Médium&nbsp;» maintenant disponible&nbsp;!,Neues Halsband verfügbar: „Medium“!,"È ora disponibile il ""Collare dello Psionico""!","Nova coleira disponível: ""psíquico""!"
CLASS_UNLOCK_TINKERER,"""Tinkerer Collar"" is now available!",,"""Нашийник Кулібіна"" тепер доступний!",«&nbsp;Collier de Scientifique&nbsp;» maintenant disponible&nbsp;!,Neues Halsband verfügbar: „Bastler“!,"È ora disponibile il ""Collare dell'Inventore""!","Nova coleira disponível: ""artífice""!"
CLASS_UNLOCK_DRUID,"""Druid Collar"" is now available!",,"""Нашийник Друїда"" тепер доступний!",«&nbsp;Collier de Druide&nbsp;» maintenant disponible&nbsp;!,Neues Halsband verfügbar: „Druide“!,"È ora disponibile il ""Collare del Druido""!","Nova coleira disponível: ""druida""!"
CLASS_UNLOCK_MONK,"""Monk Collar"" is now available!",,"""Нашийник Монаха"" тепер доступний!",«&nbsp;Collier de Moine&nbsp;» maintenant disponible&nbsp;!,Neues Halsband verfügbar: „Mönch“!,"È ora disponibile il ""Collare del Monaco""!","Nova coleira disponível: ""monge""!"
CLASS_UNLOCK_JESTER,"""Jester Collar"" is now available!",,"""Нашийник Блазня"" тепер доступний!",«&nbsp;Collier de Joker&nbsp;» maintenant disponible&nbsp;!,Neues Halsband verfügbar: „Narr“!,"È ora disponibile il ""Collare del Giullare""!","Nova coleira disponível: ""curinga""!"
,,,,,,,
AREA_UNLOCK_SEWERS,You can now adventure to The Sewers!,,Тепер ви можете вирушити в Каналізацію!,Vous avez débloqué les Égouts&nbsp;!,Du kannst jetzt in die Kanalisation aufbrechen!,Ora puoi avventurarti nelle Fogne!,Agora você pode se aventurar no Esgoto!
AREA_UNLOCK_JUNKYARD,You can now adventure to The Junkyard!,,Тепер ви можете вирушити на Сміттєзвалище!,Vous avez débloqué la Décharge&nbsp;!,Du kannst jetzt zum Schrottplatz aufbrechen!,Ora puoi avventurarti nella Discarica!,Agora você pode se aventurar no Ferro-Velho!
AREA_UNLOCK_CAVES,You can now adventure to The Caves!,,Тепер ви можете вирушити в Печери!,Vous avez débloqué les Grottes&nbsp;!,Du kannst jetzt in die Höhlen aufbrechen!,Ora puoi avventurarti nelle Caverne!,Agora você pode se aventurar nas Cavernas!
AREA_UNLOCK_BONEYARD,You can now adventure to The Boneyard!,,Тепер ви можете вирушити на Кістяний Цвинтар!,Vous avez débloqué le Cimetière&nbsp;!,Du kannst jetzt zum Friedhof aufbrechen!,Ora puoi avventurarti nel Cimitero!,Agora você pode se aventurar no Cemitério!
AREA_UNLOCK_DESERT,You can now adventure to The Desert!,,Тепер ви можете вирушити в Пустелю!,Vous avez débloqué le Désert&nbsp;!,Du kannst jetzt in die Wüste aufbrechen!,Ora puoi avventurarti nel Deserto!,Agora você pode se aventurar no Deserto!
AREA_UNLOCK_CRATER,You can now adventure to The Crater!,,Тепер ви можете вирушити в Кратер!,Vous avez débloqué le Cratère&nbsp;!,Du kannst jetzt zum Krater aufbrechen!,Ora puoi avventurarti nel Cratere!,Agora você pode se aventurar na Cratera!
AREA_UNLOCK_BUNKER,You can now adventure to The Bunker!,,Тепер ви можете вирушити в Бункер!,Vous avez débloqué le Bunker&nbsp;!,Du kannst jetzt zum Bunker aufbrechen!,Ora puoi avventurarti nel Bunker!,Agora você pode se aventurar no Bunker!
AREA_UNLOCK_CORE,You can now adventure to The Core!,,Тепер ви можете вирушити в Ядро!,Vous avez débloqué le Noyau&nbsp;!,Du kannst jetzt zum Kern aufbrechen!,Ora puoi avventurarti nel Nucleo!,Agora você pode se aventurar no Núcleo!
